Ge_17 X,Ge_17 Y,Si_17 X,Si_17 Y,Ge_20 X,Ge_20 Y,Si_20 X,Si_20 Y
0,2.2058785e-22,0,8.4709586e-26,0,1.0634551e-25,0,7.2463425e-32
0,-1.8649963e-19,0,-1.0901676e-25,0,-3.3676077e-26,0,3.1778469e-32
0,-1.8634207e-19,0,-1.1663313e-25,0,-5.4233652e-26,0,-3.9769186e-32
0,-4.11159e-23,0,2.1733606e-26,0,-2.7198843e-27,0,9.2144396e-33
0,7.7484972e-23,0,1.6933972e-28,0,1.2355848e-28,0,1.151805e-32
0.0015,3.1788543e-13,0.015,6.2291036e-18,0.0015,4.9352632e-16,0.015,9.3827566e-21
0.0039,8.638631e-13,0.03,1.4300787e-17,0.0039,1.3424503e-15,0.03,2.6126543e-20
0.00798,1.9078487e-12,0.045,2.5042942e-17,0.0081,3.0226193e-15,0.045,5.6030104e-20
0.014916,4.0770169e-12,0.06,3.9656119e-17,0.01545,6.6743651e-15,0.06,1.0943983e-19
0.0267072,9.2812029e-12,0.075,5.9899619e-17,0.0283125,1.6062103e-14,0.075,2.0484095e-19
0.0417072,2.0122487e-11,0.09,8.8389675e-17,0.0433125,3.461052e-14,0.09,3.752539e-19
0.0567072,3.8904139e-11,0.105,1.2908519e-16,0.0583125,6.7350412e-14,0.105,6.7966356e-19
0.0717072,7.1480095e-11,0.12,1.8809122e-16,0.0733125,1.2523235e-13,0.12,1.2234357e-18
0.0867072,1.2795157e-10,0.135,2.750071e-16,0.0883125,2.2762031e-13,0.135,2.1947875e-18
0.1017072,2.2609423e-10,0.15,4.0521671e-16,0.1033125,4.0900225e-13,0.15,3.9299347e-18
0.1167072,3.974852e-10,0.165,6.0381246e-16,0.1183125,7.3084472e-13,0.165,7.0294665e-18
0.1317072,6.9840334e-10,0.16666667,6.3168878e-16,0.1333125,1.3027681e-12,0.16666667,7.4983151e-18
0.1467072,1.2293625e-09,0.18166667,9.5609416e-16,0.1483125,2.3206047e-12,0.18166667,1.3403741e-17
0.1617072,2.1703424e-09,0.19666667,1.4705446e-15,0.1633125,4.1344016e-12,0.19666667,2.3952725e-17
0.1767072,3.8435196e-09,0.21166667,2.3009568e-15,0.1783125,7.3700119e-12,0.21166667,4.2796581e-17
0.1917072,6.8247067e-09,0.22666667,3.6636662e-15,0.1933125,1.3146088e-11,0.22666667,7.6457705e-17
0.2067072,1.2141708e-08,0.24166667,5.9333658e-15,0.2083125,2.3461391e-11,0.24166667,1.3658714e-16
0.21428571,1.6252056e-08,0.25666667,9.7632827e-15,0.21428571,2.95513e-11,0.25666667,2.4399731e-16
0.22928571,2.8961114e-08,0.27166667,1.6298206e-14,0.22928571,5.2765009e-11,0.27166667,4.3586561e-16
0.24428571,5.1631583e-08,0.28666667,2.7552729e-14,0.24428571,9.423305e-11,0.28666667,7.7860239e-16
0.25928571,9.2051081e-08,0.30166667,4.7083696e-14,0.25928571,1.6831124e-10,0.30166667,1.3908369e-15
0.27428571,1.6405179e-07,0.31666667,8.1186858e-14,0.27428571,3.0064472e-10,0.31666667,2.484477e-15
0.28928571,2.9210906e-07,0.33166667,1.4102801e-13,0.28928571,5.3704595e-10,0.33166667,4.4380543e-15
0.30428571,5.1924833e-07,0.33333333,1.5001064e-13,0.30428571,9.5935439e-10,0.33333333,4.7335596e-15
0.31928571,9.2025055e-07,0.34833333,2.6229031e-13,0.31928571,1.7137681e-09,0.34833333,8.455602e-15
0.33428571,1.6225917e-06,0.36333333,4.6073714e-13,0.33428571,3.0614554e-09,0.36333333,1.5104297e-14
0.34928571,2.8366954e-06,0.37833333,8.1228967e-13,0.34928571,5.4689663e-09,0.37833333,2.6980863e-14
0.36428571,4.892531e-06,0.39333333,1.4361884e-12,0.36428571,9.7697441e-09,0.39333333,4.8195947e-14
0.37928571,8.2695034e-06,0.40833333,2.5449515e-12,0.37928571,1.7452645e-08,0.40833333,8.6092348e-14
0.39428571,1.3595666e-05,0.42333333,4.5174934e-12,0.39428571,3.1177345e-08,0.42333333,1.5378639e-13
0.40928571,2.1597771e-05,0.43833333,8.0296108e-12,0.40928571,5.5695049e-08,0.43833333,2.7470751e-13
0.42428571,3.3015124e-05,0.45333333,1.4286866e-11,0.42428571,9.9493203e-08,0.45333333,4.9070714e-13
0.42857143,3.700104e-05,0.46833333,2.5440242e-11,0.42857143,1.1743205e-07,0.46833333,8.7654333e-13
0.44357143,5.3780032e-05,0.48333333,4.5328024e-11,0.44357143,2.0977912e-07,0.48333333,1.5657539e-12
0.45857143,7.534126e-05,0.49833333,8.0799973e-11,0.45857143,3.7474555e-07,0.49833333,2.7968724e-12
0.47357143,0.0001020919,0.5,8.6161865e-11,0.47357143,6.6943542e-07,0.5,2.983094e-12
0.48857143,0.00013433739,0.515,1.5364699e-10,0.48857143,1.1958531e-06,0.515,5.3286218e-12
0.50357143,0.00017229822,0.53,2.7405745e-10,0.50357143,2.1362007e-06,0.53,9.5183509e-12
0.51857143,0.00021612316,0.545,4.8892026e-10,0.51857143,3.8159108e-06,0.545,1.7002284e-11
0.53357143,0.00026589782,0.56,8.723454e-10,0.53357143,6.8161753e-06,0.56,3.0370466e-11
0.54857143,0.00032164944,0.575,1.5565763e-09,0.54857143,1.2174745e-05,0.575,5.4249302e-11
0.56357143,0.00038334853,0.59,2.7775422e-09,0.56357143,2.1743941e-05,0.59,9.6902548e-11
0.57857143,0.00045090832,0.605,4.9559979e-09,0.57857143,3.8827989e-05,0.605,1.7309098e-10
0.59357143,0.00052418256,0.62,8.8418319e-09,0.59357143,6.9314541e-05,0.62,3.0918019e-10
0.60857143,0.00060296143,0.635,1.5770019e-08,0.60857143,0.00012367352,0.635,5.5226388e-10
0.62357143,0.00068696662,0.65,2.8112413e-08,0.62357143,0.00022045546,0.65,9.8645913e-10
0.63857143,0.00077584479,0.665,5.0068466e-08,0.63857143,0.00039230785,0.665,1.7620111e-09
0.64285714,0.00080207475,0.66666667,5.3380167e-08,0.64285714,0.00046230891,0.66666667,1.8793195e-09
0.65785714,0.00089656406,0.68166667,9.4893973e-08,0.65785714,0.00081910209,0.68166667,3.3568071e-09
0.67285714,0.00099478945,0.69666667,1.681899e-07,0.67285714,0.0014417303,0.69666667,5.9958116e-09
0.68785714,0.0010960791,0.71166667,2.9658065e-07,0.68785714,0.0025090904,0.71166667,1.0709381e-08
0.70285714,0.0011996245,0.72666667,5.1854452e-07,0.70285714,0.0042892793,0.72666667,1.9128192e-08
0.71785714,0.0013044411,0.74166667,8.9434065e-07,0.71785714,0.0071483833,0.74166667,3.4164418e-08
0.73285714,0.0014092935,0.75666667,1.5110853e-06,0.73285714,0.011525834,0.75666667,6.1018337e-08
0.74785714,0.001512541,0.77166667,2.4813911e-06,0.74785714,0.017859268,0.77166667,1.0897468e-07
0.76285714,0.0016117686,0.78666667,3.9317987e-06,0.76285714,0.026489209,0.78666667,1.9460639e-07
0.77785714,0.0017027444,0.80166667,5.984268e-06,0.77785714,0.037598489,0.80166667,3.4748241e-07
0.79285714,0.0017757837,0.81666667,8.74055e-06,0.79285714,0.05120454,0.81666667,6.2031774e-07
0.80785714,0.001803329,0.83166667,1.2276383e-05,0.80785714,0.067192602,0.83166667,1.1069633e-06
0.82285714,0.0017788537,0.83333333,1.2719841e-05,0.82285714,0.085365125,0.83333333,1.180498e-06
0.83785714,0.0017770291,0.84833333,1.7182486e-05,0.83785714,0.1054862,0.84833333,2.1050374e-06
0.85285714,0.0017914118,0.86333333,2.2515216e-05,0.85285714,0.12731222,0.86333333,3.7491217e-06
0.85714286,0.0017962534,0.87833333,2.8740356e-05,0.85714286,0.13382825,0.87833333,6.6631805e-06
0.87214286,0.0018124267,0.89333333,3.5872985e-05,0.87214286,0.15750466,0.89333333,1.1798794e-05
0.88714286,0.0018253573,0.90833333,4.3923458e-05,0.88714286,0.18237917,0.90833333,2.076121e-05
0.90214286,0.0018342088,0.92333333,5.2898949e-05,0.90214286,0.20826069,0.92333333,3.6146821e-05
0.91714286,0.0018393707,0.93833333,6.2804386e-05,0.91714286,0.23497976,0.93833333,6.1869592e-05
0.93214286,0.0018418596,0.95333333,7.3643013e-05,0.93214286,0.26238611,0.95333333,0.00010319556
0.94714286,0.0018427978,0.96833333,8.5416735e-05,0.94714286,0.29034456,0.96833333,0.00016606566
0.96214286,0.0018430382,0.98333333,9.8126321e-05,0.96214286,0.31873538,0.98333333,0.0002556027
0.97714286,0.0018430838,0.99833333,0.00011177153,0.97714286,0.3474519,0.99833333,0.00037456012
0.99214286,0.001843179,1,0.00011334538,0.99214286,0.37639908,1,0.00038961349
1.0071429,0.001843418,1.015,0.00012802878,1.0071429,0.40549212,1.015,0.00054101413
1.0221429,0.0018438199,1.03,0.00014364432,1.0221429,0.43465541,1.03,0.0007190912
1.0371429,0.0018443697,1.045,0.000160189,1.0371429,0.46382148,1.045,0.00092046731
1.0521429,0.0018450399,1.06,0.00017765898,1.0521429,0.4929301,1.06,0.0011416692
1.0671429,0.0018458005,1.075,0.00019604959,1.0671429,0.52192753,1.075,0.0013795517
1.0714286,0.0018460305,1.09,0.00021535528,1.0714286,0.53018524,1.09,0.0016314456
1.0864286,0.0018468667,1.105,0.00023556966,1.0864286,0.55896999,1.105,0.0018951596
1.1014286,0.0018477344,1.12,0.00025668549,1.1014286,0.58754146,1.12,0.0021689231
1.1164286,0.0018486137,1.135,0.0002786946,1.1164286,0.61586268,1.135,0.0024513122
1.1314286,0.001849488,1.15,0.00030158796,1.1314286,0.64390068,1.15,0.0027411797
1.1464286,0.0018503436,1.165,0.0003253556,1.1464286,0.67162603,1.165,0.0030375966
1.1614286,0.0018511701,1.1666667,0.00032804995,1.1614286,0.69901245,1.1666667,0.0030709018
1.1764286,0.0018519605,1.1816667,0.00035277617,1.1764286,0.72603647,1.1816667,0.0033737133
1.1914286,0.0018527113,1.1966667,0.00037835249,1.1914286,0.75267713,1.1966667,0.0036816313
1.2064286,0.0018534226,1.2116667,0.00040476596,1.2064286,0.77891567,1.2116667,0.0039941499
1.2214286,0.0018540969,1.2266667,0.00043200257,1.2214286,0.80473529,1.2266667,0.0043108456
1.2364286,0.001854738,1.2416667,0.0004600473,1.2364286,0.83012095,1.2416667,0.0046313616
1.2514286,0.00185535,1.2566667,0.00048888406,1.2514286,0.8550592,1.2566667,0.0049553948
1.2664286,0.0018559367,1.2716667,0.00051849563,1.2664286,0.87953794,1.2716667,0.005282686
1.2814286,0.0018565014,1.2866667,0.00054886368,1.2814286,0.90354641,1.2866667,0.005613012
1.2857143,0.0018566591,1.3016667,0.00057996872,1.2857143,0.91031823,1.3016667,0.0059461794
1.3007143,0.0018571993,1.3166667,0.00061179004,1.3007143,0.9337081,1.3166667,0.0062820197
1.3157143,0.0018577229,1.3316667,0.00064430569,1.3157143,0.95660739,1.3316667,0.0066203853
1.3307143,0.0018582315,1.3333333,0.00064796041,1.3307143,0.97900905,1.3333333,0.0066581315
1.3457143,0.0018587264,1.3483333,0.00068122023,1.3457143,1.0009072,1.3483333,0.0069991509
1.3607143,0.0018592089,1.3633333,0.00071512376,1.3607143,1.022297,1.3633333,0.0073424382
1.3757143,0.0018596798,1.3783333,0.0007496449,1.3757143,1.0431753,1.3783333,0.0076878921
1.3907143,0.00186014,1.3933333,0.00078475607,1.3907143,1.0635403,1.3933333,0.0080354221
1.4057143,0.0018605901,1.4083333,0.00082042822,1.4057143,1.0833918,1.4083333,0.0083849469
1.4207143,0.0018610307,1.4233333,0.00085663068,1.4207143,1.1027316,1.4233333,0.0087363931
1.4357143,0.0018614625,1.4383333,0.00089333114,1.4357143,1.1215638,1.4383333,0.0090896942
1.4507143,0.0018618858,1.4533333,0.00093049553,1.4507143,1.1398942,1.4533333,0.0094447899
1.4657143,0.0018623013,1.4683333,0.00096808794,1.4657143,1.157731,1.4683333,0.009801625
1.4807143,0.0018627091,1.4833333,0.0010060705,1.4807143,1.175084,1.4833333,0.010160149
1.4957143,0.0018631098,1.4983333,0.0010444032,1.4957143,1.1919643,1.4983333,0.010520316
1.5,0.001863223,1.5,0.0010486822,1.5,1.196702,1.5,0.010560434

